rnum,productGb,prdlstReportNo,prdlstNm,prdkind,prdkindstate,capacity,manufacture,seller,rawmtrl,allergy,nutrient,barcode,imgurl1,imgurl2
10797,식품,19910144038549,햇반컵반 중화마파두부덮밥,즉석조리식품,알수없음,270g,씨제이제일제당주식회사 부산시 사하구 다대로 210,알수없음,"*햇반(150g/즉석조리식품/질소충전제품/살균제품):배합수제외[멥쌀(국산)99.9%,쌀미강추출물]*마파두부덮밥소스(120g/소스류/레토르트식품/멸균제품):두부[대두(외국산),혼합제제(조제해수염화마그네슘,현미유)],정제수,양파(국산),돼지고기(국산),고추향미유,물엿,마늘,백설탕,옥수수유,고춧가루,대파,양조간장,혼합제제[변성전분,말토덱스트린],다시다요리수치킨스톡,백설남해굴소스,쇠고기진한다시,구수한집된장골드,정제소금,흑후추분말,파프리카추출색소","난류,대두,밀,돼지고기,닭고기,쇠고기,조개류(굴) 함유","1회 제공량 (270g) 1회 제공량당 함량 %영양성분 기준치 열량 380kcal, 탄수화물 62g 19%,당류 6g, 단백질 10g 18%, 지방 10g 20%, 포화지방 1.9g 13%,트랜스지방 0g,콜레스테롤 5mg미만 2%,나트륨 810mg 41% *%영양성분 기준치: 1일 영양성분 기준치에 대한 비율",8801007566412,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038549/19910144038549-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038549/19910144038549-2.jpg
10813,식품,19910144038521,다시다골드해물,복합조미식품,알수없음,100g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산), L-글루타민산나트륨(향미증진제), 소맥전분(수입산), 백설탕, 말토덱스트린, 게엑기스(게:국산), 혼합마늘분말, 새우엑기스(새우:캐나다산), 조개농축액베이스분말(조개:국산), 홍합엑기스분말(홍합:국산), 분말간장, 다시마농축분말(다시마:국산), 멸치농축액분말(멸치:국산), 멸치가루(멸치:국산), 미더덕엑기스(미더덕:국산), 굴엑기스씨즈닝분말(굴:국산), 조미후추분, 무즙분말, 조개농축액(조개:국산), 조미멸치분말(멸치:국산), 복합해물맛분말, 양파조미유, 향미증진제, 남해굴농축액(굴:국산), 후추가루, 훈연멸치분말(멸치:국산), 청양고추엑기스분말, 구연산 ●해물함량(생물기준)35%(게 16.8%, 조개 6.0%, 멸치 3.5%, 굴 3.0%, 미더덕 2.6%, 새우 2.1%, 홍합 1.0%)","조개류(개량조개, 바지락, 굴, 홍합), 게, 오징어, 새우, 대두, 밀 함유",알수없음,8801007352398,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038521/19910144038521-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038521/19910144038521-2.jpg
10814,식품,1991014403852,다시다냉면,복합조미식품,알수없음,300g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산), L-글루탐산나트륨(향미증진제), 백설탕, 혼합양념분말골드(중국산)[소맥전분, 정제염, 건마늘가루, 건양파가루, 사골엑기스분말(사골:호주산)], 농축간장[탈지대두(외국산), 콘글루텐(옥수수:외국산)], 포도당, 분말간장, 말토덱스트린, 혼합마늘분말, 분말간장-씨제이, 농축미트향, 겨자분, 후추가루, 구연산, 소맥전분, 닭고기향, 향미증진제1, 세이버리인헨서, 향미증진제2, 영양강화제","쇠고기, 대두, 밀, 우유 함유",알수없음,8801007241586,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403852/1991014403852-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403852/1991014403852-2.jpg
10817,식품,19910144038498,스윗푸딩 로열커스터드,즉석섭취식품,알수없음,99gx3개입,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"*푸딩(95g):정제수,우유(국산),푸딩프리퍼레이션(설탕,탈지분유,식물성유지,식물성유지(부분경화유)[싱가폴산(채종부분경화유,팜유,레시틴,비타민E,구연산)],탈지분유(우유:국산),난황액,전란액,가당연유,유크림,식물성유지,디종체리스피릿,주정,리큐르,혼합제제(에탄올,글리세린,바닐라추출물,바닐린),당류가공품,합성향료A(밀크향),당류가공품A,당류가공품B,혼합제제(초산토코페롤,변성전분,말토덱스트린,이산화규소),천연향료,합성향료B(밀크향),정제소금*캐러멜시럽(4g):당류가공품C(설탕,정제수),정제수,당류가공품D(설탕,정제수),설탕,혼합제제(잔탄검,카라기난)","난류,우유,대두 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038498/19910144038498-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038498/19910144038498-2.jpg
10819,식품,19910144038492,다시다국내산조개,복합조미식품,알수없음,300g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산),L-글루탐산나트륨(향미증진제),말토덱스트린,백설탕,조개농축액[조개분해농축액(바지락:국산,개량조개:국산),정제염(국산),말토덱스트린],옥수수전분[옥수수(외국산:러시아,헝가리,세르비아등)],조개분말(바지락:국산),조개농축액베이스분말[조개농축액베이스{조개분해농축액(개량조개:국산,바지락:국산)}],마늘양념믹스,향미증진제1,팜유,향미증진제2,굴엑기스,새우엑기스,청양고추엑기스분말,향미증진제3,조미후추분,구연산,다시마엑기스분말,향미증진제4·특정성분함량:조개함량27%(생물기준)","오징어,조개류(굴 포함),새우,대두,밀 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038492/19910144038492-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038492/19910144038492-2.jpg
10820,식품,1991014403849,다시다멸치,복합조미식품,알수없음,500g,알수없음,알수없음,"정제염(국산),맛내기양념분말(중국산),[L-글루탐산나트륨(향미증진제),포도당,정제염,옥수수전분,마늘분말],조미멸치분말[멸치(국산),물엿,정제염(국산),효소],포도당,멸치추출농축액[멸치베이스농축액(멸치:국산),말토덱스트린,정제염(국산),지미에스,DL-알라닌],멸치분말(국산),멸치농축액분말(멸치:국산),옥수수전분,훈연멸치분말(멸치:국산),향미증진제1,팜유,가쓰오부시분말,소스류,조미후추분말,향미증진제2,구운양파향,향미증진제3,구연산,다시마엑기스분말","대두,밀,우유,새우,조개류(굴,홍합) 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403849/1991014403849-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403849/1991014403849-2.jpg
10821,식품,19910144038487,스윗푸딩 밀크커스터드,즉석섭취식품,알수없음,95gX3개입,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제수,우유(국산),푸딩프리퍼레이션(설탕,탈지분유,식물성유지),식물성유지(부분경화유)[싱가폴산(채종부분경화유,팜유,레시틴,비타민E,구연산)],탈지분유(우유:국산),난황액,전란액,가당연유,유크림(호주산),식물성유지,디종체리스피릿,주정,리큐르,혼합제제(에탄올,글리세린,바닐라추출물,바닐린),당류가공품,합성향료A(밀크향),당류가공품A,당류가공품B,혼합제제(초산토코페롤,변성전분,말토덱스트린,이산화규소),천연향료,합성향료B(밀크향),정제소금","난류,우유,대두 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038487/19910144038487-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038487/19910144038487-2.jpg
10824,식품,1991014403848,다시다쇠고기,복합조미식품,알수없음,300g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산),쇠고기양념분말(중국산)[소맥전분,정제염,건양파가루,건마늘가루,사골엑기스분말(사골:호주산),효소분해쇠고기엑기스분말(쇠고기:호주산)],L-글루탐산나트륨(향미증진제),백설탕,농축간장[탈지대두(외국산),콘글루텐(뉴질랜드산)],포도당,말토덱스트린,정제우지(우지:호주산),한우지방(한우:국산),아미노MSI,소스류,세이버리스튜,고기국물맛분말,향미증진제1,후추가루,조미후추분,향미증진제2,마늘향,마늘양파혼합분,구운양파향,향미증진제3,영양강화제,구연산·특정성분명 및 함량:쇠고기 함량5%(정육기준)","쇠고기,대두,밀,우유 함유",알수없음,8801007240688,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403848/1991014403848-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/1991014403848/1991014403848-2.jpg
10825,식품,19910144038478,다시다골드쇠고기,복합조미식품,알수없음,96g(8gx12개),씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"천일염(국산),한우맛내기분말골드[혼합양념분말골드(중국산),농축간장분말(탈지대두:외국산),한우쇠고기분말(한우쇠고기:국산),후추가루],L-글루탐산나트륨(향미증진제),포도당,백설탕,농축간장[탈지대두(외국산),콘글루텐(뉴질랜드산)],한우지방(한우:국산),말토덱스트린,정제우지(우지:호주산),쇠고기엑기스(쇠고기:호주산),아미노산베이스,진한국물베이스,고기국물맛분말,소스류,콩발효추출물분말,효모엑기스,향미증진제1,효모베이스분말,무즙분말,향미증진제2,세이버리인헨서,스튜드비프후레바,효모추출물제품,구운양파향,마늘양파혼합분,향미증진제3,영양강화제·특정성분함량:한우쇠고기10%(정육기준)","쇠고기,닭고기,대두,밀,우유,조개류 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038478/19910144038478-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038478/19910144038478-2.jpg
10842,식품,19910144038321,산들애국내산해물,복합조미식품,알수없음,250g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산),새우엑기스분말[새우분말베이스(새우:국산),옥수수전분(옥수수:외국산)],해물엑기스분말[다시마추출물분말(다시마:국산),멸치분말(멸치:국산)],포도당,어육단백분해물[산들애멸치농축액(멸치:국산),효모추출물],효모추출물1,야채엑기스분말,오징어엑기스분말(오징어:국산),밀단백추출물,유당,양조간장조미분말,멸치가루(국산),옥수수전분,게엑기스분말(게:국산),미더덕추출물분말(미더덕:국산),고추양념분말,콩나물엑기스,양파조미유CJ,효모추출물2,홍합엑기스분말(홍합:국산),산들애양념,무즙분말,표고버섯분말,효모추출물제품,청양고추엑기스분말,후추가루·해물함량:해물(게,새우,미더덕,오징어,멸치,홍합)59%(생물기준)","게,새우,오징어,조개류(홍합),쇠고기,대두,밀,우유 함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038321/19910144038321-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038321/19910144038321-2.jpg
10844,식품,19910144038228,산들애국내산한우,복합조미식품,알수없음,250g,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"한우야채가루[야채양념가루(중국산),효모추출물,양조간장조미분말{양조간장(탈지대두(대두:인도산))},무즙분말,추출다시마분말,한우쇠고기분말(한우쇠고기:국산)],정제염(국산),백설탕,효모추출물(이스트엑기스,소금),효모추출물제품(태국산),멸치액젓분말,한우우린국말(한우쇠고기:국산),한우지방(한우:국산),한우사골농축분말(한우:국산),산들애양념,해물양념,한우쇠고기엑기스(한우쇠고기:국산),한우육수분말(한우쇠고기:국산),양파향미유CJ,야채우린액","쇠고기,대두,밀,우유,돼지고기,조개류(굴,바지락)함유",알수없음,알수없음,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038228/19910144038228-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038228/19910144038228-2.jpg
10845,식품,19910144038227,다시다쇠고기골드전문식당용,복합조미식품,알수없음,1kg,씨제이제일제당주식회사 부산광역시 사하구 다대로 210,알수없음,"정제염(국산),쇠고기양념분말골드(중국산)[소맥전분,정제염,건마늘가루,건양파가루,사골엑기스분말(사골:호주산),효소분해쇠고기엑기스(쇠고기:호주산)],L-글루탐산나트륨(향미증진제),농축간장[탈지대두(외국산),콘글루텐(뉴질랜드산)],백설탕,포도당,말토덱스트린,한우지방(한우:국산),정제우지(우지:호주산),아미노산베이스,향미증진제1,아미노MS1,콩발효추출물분말,고기국물맛분말,소스류,쇠고기엑기스(쇠고기:호주산),무즙분말,효모엑기스,향미증진제2,효모베이스분말,후추가루,세이버리인헨서,효모추출물제품,스튜드비프후레바,구운양파향,마늘양파혼합분,향미증진제3,영양강화제","쇠고기,닭고기,조개류,우유,대두,밀 함유",알수없음,8801007058481,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038227/19910144038227-1.jpg,http://www.haccp.or.kr/fresh/prdimg/1991/19910144038227/19910144038227-2.jpg
