raw_name,heuristic_display,corrected_display
AKURA_SALTED CARAMEL(솔티드카라멜맛)김,SALTED CARAMEL(솔티드카라멜맛)김,SALTED CARAMEL(솔티드카라멜맛) 김
AKURA_와사비김,와사비김,와사비김
AKURA_재래김,재래김,재래김
C10_든든현미밥과 데리야끼연근치킨,든든현미밥과 데리야끼연근치킨,든든현미밥과 데리야끼연근치킨
C11_든든현미밥과 표고버섯불고기,든든현미밥과 표고버섯불고기,든든현미밥과 표고버섯불고기
C12_든든현미밥과 매콤제육볶음,든든현미밥과 매콤제육볶음,든든현미밥과 매콤제육볶음
C1_든든현미밥과 삼삼숙주불고기,든든현미밥과 삼삼숙주불고기,든든현미밥과 삼삼숙주불고기
C2_든든현미밥과 마파두부소보로,든든현미밥과 마파두부소보로,든든현미밥과 마파두부소보로
C3_든든현미밥과 안동식표고버섯찜닭,든든현미밥과 안동식표고버섯찜닭,든든현미밥과 안동식표고버섯찜닭
C4_든든현미밥과 토마토제육불고기,든든현미밥과 토마토제육불고기,든든현미밥과 토마토제육불고기
C5_든든현미밥과 칠리두부소보로,든든현미밥과 칠리두부소보로,든든현미밥과 칠리두부소보로
C6_든든현미밥과 토마토치즈대구필렛,든든현미밥과 토마토치즈대구필렛,든든현미밥과 토마토치즈대구필렛
C7_든든현미밥과 영양수삼찜닭,든든현미밥과 영양수삼찜닭,든든현미밥과 영양수삼찜닭
C8_든든현미밥과 오크라표고제육불고기,든든현미밥과 오크라표고제육불고기,든든현미밥과 오크라표고제육불고기
C9_든든현미밥과 계란두부소보로,든든현미밥과 계란두부소보로,든든현미밥과 계란두부소보로
CP 과당 팝콘_간장고수맛,간장고수맛,과당 팝콘(간장고수맛)
CP 과당 팝콘_마라맛,CP 과당 팝콘 마라맛,과당 팝콘(마라맛)
D10_기장렌틸콩밥과 데리야끼연근치킨,기장렌틸콩밥과 데리야끼연근치킨,기장렌틸콩밥과 데리야끼연근치킨
D11_현미수수밥과 표고버섯불고기,현미수수밥과 표고버섯불고기,현미수수밥과 표고버섯불고기
D12_귀리보리밥과 매콤제육볶음,귀리보리밥과 매콤제육볶음,귀리보리밥과 매콤제육볶음
D1_현미수수밥과 삼삼숙주불고기,현미수수밥과 삼삼숙주불고기,현미수수밥과 삼삼숙주불고기
D2_귀리보리밥과 마파두부소보로,귀리보리밥과 마파두부소보로,귀리보리밥과 마파두부소보로
D3_기장렌틸콩밥과 안동식표고버섯찜닭,기장렌틸콩밥과 안동식표고버섯찜닭,기장렌틸콩밥과 안동식표고버섯찜닭
D4_귀리보리밥과 토마토제육불고기,귀리보리밥과 토마토제육불고기,귀리보리밥과 토마토제육불고기
D5_귀리보리밥과 칠리두부소보로,귀리보리밥과 칠리두부소보로,귀리보리밥과 칠리두부소보로
D6_기장렌틸콩밥과 토마토치즈대구필렛,기장렌틸콩밥과 토마토치즈대구필렛,기장렌틸콩밥과 토마토치즈대구필렛
D7_현미수수밥과 영양수삼찜닭,현미수수밥과 영양수삼찜닭,현미수수밥과 영양수삼찜닭
D8_기장렌틸콩밥과 오크라표고제육불고기,기장렌틸콩밥과 오크라표고제육불고기,기장렌틸콩밥과 오크라표고제육불고기
D9_현미수수밥과 계란두부소보로,현미수수밥과 계란두부소보로,현미수수밥과 계란두부소보로
DAY_day 유기농 NFC 레몬즙 100,day 유기농 NFC 레몬즙 100,유기농 NFC 레몬즙 100
FV_분짜드레싱(소포장),분짜드레싱(소포장),분짜드레싱(소포장)
FV_치미추리소스,치미추리소스,치미추리소스
Gourmet 고메 탕수육_CC,Gourmet 고메 탕수육,Gourmet 고메 탕수육
JH_고추양념소스_v1,고추양념소스,고추양념소스
JH_고추양념소스_v2,고추양념소스,고추양념소스
JH_고추양념소스_v3,고추양념소스,고추양념소스
PB1_삼삼숙주불고기,삼삼숙주불고기,삼삼숙주불고기
PP2_오크라표고제육불고기,오크라표고제육불고기,오크라표고제육불고기
PT1_마파두부소보로,마파두부소보로,마파두부소보로
PT2_계란두부소보로,계란두부소보로,계란두부소보로
PT3_칠리두부소보로,칠리두부소보로,칠리두부소보로
S_갈레트브루통,갈레트브루통(S),갈레트브루통
S_녹차까눌레,녹차까눌레(S),녹차까눌레
S_뉴욕치즈케이크,뉴욕치즈케이크(S),뉴욕치즈케이크
S_단팥빵(완제),단팥빵(완제)(S),단팥빵
S_딸기까눌레,딸기까눌레(S),딸기까눌레
S_딸기티라미수,딸기티라미수(S),딸기티라미수
S_마카다미아 르뱅쿠키,마카다미아 르뱅쿠키(S),마카다미아 르뱅쿠키
S_모카까눌레,모카까눌레(S),모카까눌레
S_무화과크림치즈휘낭시에,무화과크림치즈휘낭시에(S),무화과크림치즈휘낭시에
S_베리초코휘낭시에,베리초코휘낭시에(S),베리초코휘낭시에
S_브라우니,브라우니(S),브라우니
S_소금빵(완제),소금빵(완제)(S),소금빵
S_솔티드카라멜휘낭시에,솔티드카라멜휘낭시에(S),솔티드카라멜휘낭시에
S_초코피칸휘낭시에,초코피칸휘낭시에(S),초코피칸휘낭시에
S_플레인휘낭시에,플레인휘낭시에(S),플레인휘낭시에
s_크랜베리 르뱅쿠키,크랜베리 르뱅쿠키(s),크랜베리 르뱅쿠키
가공우유_딸기맛,딸기맛가공우유,가공우유(딸기맛)
간장오삼불고기_반조리,반조리간장오삼불고기,간장오삼불고기(반조리)
간장오징어볶음_반조리,반조리간장오징어볶음,간장오징어볶음(반조리)
갈비구이_소고기,소고기갈비구이,소고기갈비구이
갈비찜_소고기,소고기갈비찜,소고기갈비찜
갈치구이_기름,기름갈치구이,기름갈치구이
갈치젓_양념,양념갈치젓,양념갈치젓
감귤생크림케이크_온브릭스,온브릭스감귤생크림케이크,온브릭스 감귤생크림케이크
감당(Gamdang)_토마토편,토마토편감당(Gamdang),토마토편
감자 크래커_땅콩맛,감자 크래커 땅콩맛,감자 크래커(땅콩맛)
감자_찐감자,찐감자,찐감자
감자볶음_채소,채소감자볶음,채소감자볶음
겉절이_배추,배추겉절이,배추겉절이
겉절이_상추,상추겉절이,상추겉절이
겉절이_열무,열무겉절이,열무겉절이
겉절이_치커리,치커리겉절이,치커리겉절이
경단_깨,깨경단,깨경단
경상도식소고기무국_냉동,경상도식소고기무국(냉동),경상도식소고기무국(냉동)
고구마_찐고구마,찐고구마,찐고구마
고등어구이_석쇠,석쇠고등어구이,석쇠고등어구이
곡물빵_통밀,통밀곡물빵,통밀곡물빵
골뱅이무침_소면,소면골뱅이무침,소면골뱅이무침
곰돌이 푸_부드러운 카스테라,부드러운 카스테라,부드러운 카스테라
곰탕_우거지,우거지곰탕,우거지곰탕
곱창구이_소고기,소고기곱창구이,소고기곱창구이
곱창볶음_돼지고기,돼지고기곱창볶음,돼지고기곱창볶음
과·채음료_사과,사과과·채음료,사과 과채음료
과·채음료_토마토,토마토과·채음료,토마토 과채음료
과·채주스_귤,귤과·채주스,귤주스
과·채주스_오렌지,오렌지과·채주스,오렌지주스
과·채주스_푸룬,푸룬과·채주스,푸룬주스
구운 카다이피 (점보)_760g,구운 카다이피 (점보),구운 카다이피 (점보)
국밥_돼지머리,돼지머리국밥,돼지머리국밥
국밥_순대국밥,순대국밥,순대국밥
국밥_콩나물,콩나물국밥,콩나물국밥
국수_막국수,막국수,막국수
국수_비빔국수,비빔국수,비빔국수
국수_잔치국수,잔치국수,잔치국수
국수_쟁반막국수,쟁반막국수,쟁반막국수
굴국_무,무굴국,무굴국
그리니 생오이 슬라이스 피클_100g,그리니 생오이 슬라이스 피클,그리니 생오이 슬라이스 피클
기타차_하동매실피치티 핫(HOT),하동매실피치티 핫(HOT),하동매실피치티 핫(HOT)
김_무조미김,무조미김,무조미김
김_장봉 조미김,장봉 조미김,장봉 조미김
김_조은음식드림 조미김가루,조은음식드림 조미김가루,조미김가루
김_해조명가 곱창조미김,해조명가 곱창조미김,해조명가 곱창조미김
김구이_조미김,조미김김구이,조미김 김구이
김밥(반제)_매콤제육,매콤제육김밥(반제),매콤제육김밥(반제)
김밥(반제)_원조,원조김밥(반제),원조김밥(반제)
김밥(반제)_참치,참치김밥(반제),참치김밥(반제)
김밥_김치,김치김밥,김치김밥
김밥_날치알,날치알김밥,날치알김밥
김밥_돈가스,돈가스김밥,돈가스김밥
김밥_소고기,소고기김밥,소고기김밥
김밥_참치,참치김밥,참치김밥
김밥_채소,채소김밥,채소김밥
김밥_치즈,치즈김밥,치즈김밥
김밥_풋고추,풋고추김밥,풋고추김밥
김치국_콩나물,콩나물김치국,콩나물김치국
김치볶음_참치,참치김치볶음,참치김치볶음
김치찌개_꽁치,꽁치김치찌개,꽁치김치찌개
김치찌개_돼지고기,돼지고기김치찌개,돼지고기김치찌개
김치찌개_어묵,어묵김치찌개,어묵김치찌개
김치찌개_참치,참치김치찌개,참치김치찌개
김치찌개_햄,햄김치찌개,햄김치찌개
꼬치구이_닭고기_대파,닭고기대파꼬치구이,닭고기대파꼬치구이
꽃게장_간장,간장꽃게장,간장꽃게장
꽃게장_양념,양념꽃게장,양념꽃게장
꿀고구마케이크_M9,꿀고구마케이크,꿀고구마케이크
내 아이와_구워먹는치즈,구워먹는치즈,구워먹는치즈
냉국_미역,미역냉국,미역냉국
냉국_미역_오이,미역오이냉국,미역오이냉국
냉동 망고미트_1kg,냉동 망고미트,냉동 망고미트
냉동 생중화면_F,냉동 생중화면,냉동 생중화면
냉동혼합야채(4종_볶음밥용),냉동혼합야채(4종 볶음밥용),냉동혼합야채(4종 볶음밥용)
냉면_물냉면,물냉면,물냉면
냉면_비빔냉면,비빔냉면,비빔냉면
냉면_회냉면_홍어,홍어회냉면,홍어회냉면
냉채_닭고기,닭고기냉채,닭고기냉채
달걀부침(달걀후라이)_햄,햄달걀부침(달걀후라이),햄달걀부침(달걀후라이)
달걀찜_당근,당근달걀찜,당근달걀찜
달걀찜_두부,두부달걀찜,두부달걀찜
달걀찜_새우젓,새우젓달걀찜,새우젓달걀찜
달걀찜_우유,우유달걀찜,우유달걀찜
달걀찜_채소,채소달걀찜,채소달걀찜
달걀탕_순두부,순두부달걀탕,순두부달걀탕
달래무침_오이,오이달래무침,오이달래무침
닭가슴살 샐러드_드레싱,닭가슴살 샐러드 드레싱,닭가슴살 샐러드 드레싱
닭가슴살 샐러드_마요네즈,닭가슴살 샐러드 마요네즈,닭가슴살 샐러드 마요네즈
닭구이_바베큐치킨스테이크,바베큐치킨스테이크,바베큐치킨스테이크
닭껍데기튀김_BBQ 닭껍데기,BBQ 닭껍데기,BBQ 닭껍데기
닭다리구이_자메이카 통다리구이,자메이카 통다리구이,자메이카 통다리구이
닭다리구이_자메이카 통다리구이 반마리,자메이카 통다리구이 반마리,자메이카 통다리구이 반마리
닭다리튀김_간장,간장닭다리튀김,간장닭다리튀김
닭다리튀김_다리 스틱,다리 스틱,다리 스틱
닭다리튀김_봉 (5조각),봉 (5조각),봉 (5조각)
닭다리튀김_치킨다리 (1조각),치킨다리 (1조각),치킨다리 (1조각)
닭다리튀김_황금올리브치킨 닭다리,황금올리브치킨 닭다리,황금올리브치킨 닭다리
닭다리튀김_황올 반+양념 반 닭다리 치킨,황올 반+양념 반 닭다리 치킨,황올 반+양념 반 닭다리 치킨
닭모래집튀김_매콤똥집튀김,매콤똥집튀김,매콤똥집튀김
닭발구이_마닭 불닭발,마닭 불닭발,마닭 불닭발
닭발구이_무뼈닭발,무뼈닭발닭발구이,무뼈닭발닭발구이
닭발구이_불닭발,불닭발닭발구이,불닭발닭발구이
닭발구이_참숯닭발,참숯닭발닭발구이,참숯닭발닭발구이
닭발구이_한입쏙직화 닭발,한입쏙직화 닭발,한입쏙직화 닭발
닭발튀김_황올한 닭발튀김,황올한 닭발튀김,황올한 닭발튀김
닭볶음(닭갈비)_간편조리세트_모짜렐라 치즈 닭갈비,모짜렐라 치즈 닭갈비(간편조리세트),모짜렐라 치즈 닭갈비(간편조리세트)
닭볶음(닭갈비)_간편조리세트_치즈 품은 닭갈비,치즈 품은 닭갈비(간편조리세트),치즈 품은 닭갈비(간편조리세트)
닭볶음(닭갈비)_간편조리세트_치즈이불 닭갈비,치즈이불 닭갈비(간편조리세트),치즈이불 닭갈비(간편조리세트)
닭볶음(닭갈비)_닭가슴살_피망,닭가슴살피망닭볶음(닭갈비),닭가슴살피망닭볶음(닭갈비)
닭볶음(닭갈비)_매운양념,매운양념닭볶음(닭갈비),매운양념닭볶음(닭갈비)
닭볶음(닭갈비)_매운양념_치즈,매운양념치즈닭볶음(닭갈비),매운양념치즈닭볶음(닭갈비)
닭볶음탕_간편조리세트_곱도리탕,곱도리탕닭볶음탕(간편조리세트),곱도리탕닭볶음탕(간편조리세트)
닭조림_고추장,고추장닭조림,고추장닭조림
닭죽_채소,채소닭죽,채소닭죽
닭찜_간장,간장닭찜,간장닭찜
닭찜_간편조리세트_안동식 찜닭,안동식 찜닭(간편조리세트),안동식 찜닭(간편조리세트)
닭찜_매운양념,매운양념닭찜,매운양념닭찜
닭찜_안동찜닭,안동찜닭닭찜,안동찜닭닭찜
닭튀김_New치킨너겟,New치킨너겟,New치킨너겟
